,index,link,heading,message
0,30056,/Forum/Appeals/Details/30056,Заявление-разьяснение,"Прошу предоставить правовую информацию, на основании каких законов и правовых актов в Иркутской области, транспортные компании(в лице водителей, проводников, кондукторов, охранных органов и т. д.) не допускают в транспортные общественные средства передвижения наземным, воздушным, железнодорожным способом передвижения; магазины розничной и оптовой торговли не продают товары первой необходимости человеку-гражданину, без средств индивидуальной защиты(маски и перчатки). Прошу предоставить документы с гербовыми печатями и подписями ответственных лиц подписавших данные постановления."
1,30047,/Forum/Appeals/Details/30047,Уклонение от исполнения договора,"Здравствуйте!  По договору розничной купли-продажи и монтажу витражей от 11.09.2021 ИП Гончаров Егор Васильевич (ИНН 310261985893) не исполняет свой обязательства. При заключении договора был оговорен срок исполнения - 21 календарный день с даты заключения договора. Причины неисполнения не называет, конкретный срок исполнения договора не называет. Смс с просьбой указать срок выполнения обязательств осталась без ответа. "
2,30043,/Forum/Appeals/Details/30043,торговля подделкой красной икры,"здравствуйте, я Шагеева Ольга Владимировна, приобрела сегодня, 13.11.2021 года в магазине ""Рыботорг"" на ул.Гагарина, д.24А г.Челябинска икру красную в жестяной банке весом 140 гр стоимостью 299 рублей (по ""акции""), которая заявлена продавцом как ""икра кеты"", на банке указан состав изделия: икра, соль, мало растительное итд, изготовитель ООО ""Персей"" (Сахалинская обл., г.Корсаков, ул.Крутая, 42). На мой вопрос продавец утвердительно ответила что ""икра настоящая, не имитация"". Однако при употреблении в пищу оказалось, что это подделка, то есть имитация икры, что явно следует из запаха и вкусовых качеств продукта. Прошу привлечь магазин к ответственности за обман покупателей. Ответ на данное обращение прошу направить на адрес эл.почты: binge@inbox.ru, мой контактный тел.: 89000736745, адрес регистрации: Челябинск, Гагарина, 26А-156"
3,30037,/Forum/Appeals/Details/30037,Вопрос о втором законопроекте,"Здравствуйте! В сети интернет увидела введение второго законопроекта (https://news.mail.ru/card/314/) о том, что обязательные QR-коды вводятся на самолетах и поездах.  Дело в том, что я не вакцинирована и планирую в декабре 2021 г. поездку из Пензы в Москву. Я уточнила вопрос о возможности покупки билета в ОАО РЖД и они ответили, что у них таких ограничений нет и посоветовали мне обратиться с этим вопросом к вам.  Уточните, пожалуйста, есть ли какие-то ограничения по этим двум регионам? (Пензенская и Московская область). Могу ли я приобрести билет на поезд без наличия: QR-кода, справки о перенесенном заболевании (не заболевала) или медотвода от вакцинации (нет медоотвода)? Заранее благодарю!"
4,30016,/Forum/Appeals/Details/30016,Мошенники,"Здравствуйте! Пожалуйста, примите меры ! https://icecreamacademy.ru/
Оформляешь подписку за 99 рублей, абсолютно нигде не указано, что в дальнейшем будут снимать 1100 каждый месяц ! Сняли больше 5000!! Отменить подписку НЕВОЗМОЖНО, связаться с ними тоже. Что делать, куда жаловаться, можно ли вернуть деньги ?"
5,30014,/Forum/Appeals/Details/30014,Возврат товара по браку,"Здравствуйте. Приобрели демисезонные ботинки 02.10.21г., а 10.11.21г. обнаружили, что полностью треснула подошва. Обратились в магазин, где нам сказали: ""Приносите, вернём деньги."" А на следующий день, когда мы принесли обувь, нам отказали в возврате, аргументируя тем, что закончился срок гарантии. Сами продавцы и владельцы не отрицают, что партия обуви пришла брачная и,что мы не первые пришли с возвратом по этой же причине. 
Возможен ли возврат обуви, если прошёл 1 месяц гарантии? "
6,30011,/Forum/Appeals/Details/30011,Возврат товара,"Купила в магазине ботинки осенние, гарантия прошла 8 дней назад, могу ли я вернуть обувь? "
7,30004,/Forum/Appeals/Details/30004,Утренник в детском саду,Здравствуйте. Возможно ли присутствие родителя на утреннике в детском саду без QR-кода о вакцинации или на каких условиях возможно присутствие? Какими документами регламентируется?
8,30003,/Forum/Appeals/Details/30003,Мебель не соответствует прилагаемому сертификату,"Приобрела мебель для ванной комнаты производителя Якоб Делафон. После 10 дней эксплуатации мебель стала портиться, разъехались швы в пазах ящика.Попросила у продавца сертификат. Прислали сертификат на мебель, произведенную во Франции. На моей стоит производитель РФ. Сервисный центр при предъявлении мною претензии и гарантийного талона, без осмотра ответил, что я сама виновата, лила воду. Приобрела в магазине ИП Беликов Анатолий Викторович 18.06.2021 по товарной накладной 7140"
9,30001,/Forum/Appeals/Details/30001,Почему не работает рентген?,"Добрый день!
У нас в детской поликлинике на Лосевской,9 почему то перестал работать рентгенолог.В регистратуре говорят что у них нет лицензии.Но раньше же всё былоработал кабинет,было очень удобно!
А сейчас у меня сын сломал ногу и нам для того что бы сделать рентген хирург вызвал аж скорую помощь,которая увезла нас в больницу святого Владимира!Там тоже были удивлены...
Сейчас нужно сделать контрольный снимок,ортопед открыл направление,но я не могу записаться-нет свободных специалистов.
Как быть?
"
